Log,Attack Type,Source
duration: 0 | protocol_type: icmp | service: eco_i | flag: SF | src_bytes: 8 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 54540 | dst_bytes: 8314 | count: 2,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 218,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 13,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 238,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 286,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 128,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: icmp | service: eco_i | flag: SF | src_bytes: 18 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 121 | dst_bytes: 174 | count: 2,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 6,Anomaly,KDDTrain+.arff
duration: 4 | protocol_type: tcp | service: pop_3 | flag: SF | src_bytes: 32 | dst_bytes: 93 | count: 1,Anomaly,KDDTest+.arff
duration: 2 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 24 | dst_bytes: 715 | count: 4,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 129,Anomaly,KDDTrain+.arff
duration: 1 | protocol_type: tcp | service: private | flag: RSTOS0 | src_bytes: 0 | dst_bytes: 0 | count: 152,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: RSTO | src_bytes: 0 | dst_bytes: 0 | count: 225,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 1 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 2599 | dst_bytes: 293 | count: 2,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 23,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 251,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 54540 | dst_bytes: 8314 | count: 5,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: time | flag: RSTO | src_bytes: 0 | dst_bytes: 0 | count: 202,Anomaly,nsl-kdd/KDDTrain+.arff
